bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Jardim Belvedere,-16.6348111,-49.308229,7569.04,-5666.59,5010.86
Jardim Bom Jesus,-16.6155058,-49.2695695,7326.61,-1551.02,7156.32
Jardim Bonanza,-16.6575694,-49.35389319999999,10823.03,-10527.86,2481.67
Jardim Botânico,-16.7294291,-49.38033470000001,14439.95,-13342.74,-5504.32
Jardim Brasil,-16.6931933,-49.2091839,5098.94,4877.44,-1477.32
Jardim Califórnia,-16.6764284,-49.19549180000001,6350.39,6335.05,385.81
Jardim Caravelas,-16.7559545,-49.35389319999999,13506.81,-10527.86,-8452.16
Jardim Caravelas 1ª Etapa,-16.7559545,-49.35389319999999,13506.81,-10527.86,-8452.16
Jardim Clarissa,-16.6581485,-49.3462708,10018.7,-9716.4,2417.31
Jardim Colorado,-16.6321,-49.3323251,9803.33,-8231.79,5312.16
Jardim Colorado Extensão,-16.6321,-49.3323251,9803.33,-8231.79,5312.16
Jardim Colorado I,-16.6321,-49.3323251,9803.33,-8231.79,5312.16
Jardim Colorado II,-16.6321,-49.3323251,9803.33,-8231.79,5312.16
Jardim Curitiba,-16.6045222,-49.3373992,12137.34,-8771.96,8376.96
Jardim Diamantina,-16.6337509,-49.2758744,5592.65,-2222.22,5128.69
Jardim Dom Fernando I,-16.6651304,-49.1898533,7131.14,6935.31,1641.39
Jardim Eli Fortes Complemento,-16.7353257,-49.34913479999999,11768.28,-10021.29,-6159.62
Jardim Europa,-16.7160533,-49.3067696,6823.68,-5511.23,-4017.82
Jardim Florença,-16.7251882,-49.312667,7942.32,-6139.05,-5033.01
Jardim Fonte Nova,-16.6225232,-49.31203300000001,8810.25,-6071.55,6376.45
Jardim Fonte Nova I,-16.6225232,-49.31203300000001,8810.25,-6071.55,6376.45
Jardim Gardênia,-16.7425355,-49.3795951,14985.99,-13264.0,-6960.87
Jardim Goiás,-16.6938273,-49.23853390000001,2339.71,1752.93,-1547.78
Jardim Goiás - Área I,,,,,
Jardim Gramado,-16.6345143,-49.3018896,7100.69,-4991.72,5043.85
Jardim Gramado I,-16.6345143,-49.3018896,7100.69,-4991.72,5043.85
Jardim Guanabara,-16.6204575,-49.2170088,7750.41,4044.42,6606.02
