rua,bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Avenida Abaeté,Setor Faiçalville,-16.747748,-49.3108171,9604.83,-5942.11,-7540.15
Avenida Abel Soares de Castro,Setor Faiçalville,-16.7442203,-49.3173154,9756.81,-6633.9,-7148.1
Avenida Acary Passos,Residencial Olinda,-16.6859155,-49.2003903,5855.06,5813.58,-668.52
Avenida Acary Passos,Residencial Vale do Araguaia,-16.6806317,-49.2023534,5608.3,5604.59,-81.32
Avenida Ademar Vicente Ferreira,Residencial Buena Vista III,-16.7186499,-49.391438,15156.74,-14524.76,-4306.39
Avenida Ademar Vicente Ferreira,Residencial Buena Vista IV,-16.7186499,-49.391438,15156.74,-14524.76,-4306.39
Avenida Ademar Vicente Ferreira,Residencial Della Penna,-16.7151917,-49.3815242,14035.4,-13469.37,-3922.07
Avenida Aderup,Cidade Jardim,-16.6868929,-49.3145807,6393.65,-6342.77,-777.14
Avenida Afonso Pena,Goiânia 2,-16.6145294,-49.2589479,7281.04,-420.28,7264.83
Avenida Afonso Pena,Jardim Planalto,-16.714377,-49.297051,5895.41,-4476.62,-3831.53
Avenida Afonso Pena,Residencial Manhattan,-16.7063662,-49.2971195,5365.24,-4483.91,-2941.27
Avenida Afonso Pena,Vila Alpes,-16.6195354,-49.2531654,6715.08,195.31,6708.5
Avenida Afonso Pena,Vila Bela,-16.7083141,-49.2975622,5525.63,-4531.04,-3157.74
Avenida Afonso Pena,Vila Jardim São Judas Tadeu,-16.6195354,-49.2531654,6715.08,195.31,6708.5
Avenida Albert Einstein,Jardim da Luz,-16.7213377,-49.2388869,4916.87,1715.35,-4605.09
Avenida Alexandre de Morais,Parque Amazônia,-16.7372097,-49.2710781,6598.59,-1711.62,-6369.0
Avenida Alfredo Nasser,Condomínio do Lago,-16.6597331,-49.3663871,12075.2,-11857.92,2241.21
Avenida Alfredo Nasser,Condomínio do Lago 1ª Etapa,-16.6597331,-49.3663871,12075.2,-11857.92,2241.21
Avenida Alfredo Nasser,Condomínio do Lago 2ª Etapa,-16.6597331,-49.3663871,12075.2,-11857.92,2241.21
Avenida Alphaville,Loteamento Alphaville Residencial,-16.7277984,-49.3746063,13807.03,-12732.91,-5323.09
Avenida Alphaville Flamboyant,Residencial Alphaville Flamboyant,-16.7135072,-49.2014528,6818.4,5700.47,-3734.87
Avenida Altamiro de Moura Pacheco,Cidade Jardim,-16.6844299,-49.3102677,5908.35,-5883.62,-503.42
Avenida Alvicto Ozório Nogueira,Jardim Guanabara III,-16.6123258,-49.220381,8370.25,3685.43,7509.72
Avenida Americano do Brasil,Jardim Aritana,-16.7203161,-49.3752052,13568.32,-12796.67,-4491.56
Avenida Americano do Brasil,Parque Santa Rita,-16.7296568,-49.3684971,13293.74,-12082.54,-5529.62
Avenida Americano do Brasil,Residencial Kátia,-16.7371824,-49.3613788,12997.12,-11324.75,-6365.96
Avenida Americano do Brasil,Residencial Solar Bougainville,-16.7332396,-49.3624309,12887.46,-11436.75,-5927.79
