rua,bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Rua Ema7,Residencial Recanto das Emas,-16.7382467,-49.3673868,13614.47,-11964.34,-6484.24
Rua Embratel,Residencial Maria Lourença,-16.627636,-49.3004788,7566.13,-4841.53,5808.25
Rua Emilie Rassi,Jardim Clarissa,-16.6558533,-49.351626,10634.52,-10286.5,2672.38
Rua Emmental,Jardins França,-16.7344374,-49.1828983,9784.74,7675.72,-6060.9
Rua Entre Rios,Jardim Planalto,-16.7136216,-49.3017293,6231.41,-4974.65,-3747.58
Rua Eremita Ribeiro,Jardim Aritana,-16.7195632,-49.3741793,13437.59,-12687.45,-4407.89
Rua Erick Maia Peixoto,Setor Santa Rita,-16.7292244,-49.3382411,10424.78,-8861.58,-5481.57
Rua Ernesto Teodoro Moraes,Residencial Buena Vista I,-16.7241316,-49.406414,16859.52,-16119.06,-4915.59
Rua Erondina M. Rodrigues,Residencial Barravento,-16.6223181,-49.3077255,8517.41,-5612.99,6399.25
Rua Escócia,Jardim Europa,-16.7178813,-49.3079172,7042.78,-5633.4,-4220.97
Rua Esmeralda,Aeroviário,-16.6640722,-49.3088231,5997.32,-5729.84,1758.99
Rua Esmeralda,Jardim Diamantina,-16.6374256,-49.2801001,5427.31,-2672.08,4720.31
Rua Esperança,Jardim Nova Esperança,-16.6440036,-49.3286241,8800.17,-7837.79,3989.27
Rua Esperança,Setor Estrela Dalva,-16.5994575,-49.3233957,11537.18,-7281.19,8939.81
Rua Espinós,Setor Gentil Meireles,,,,,
Rua Espírito Santo,Setor Urias Magalhães,-16.6401001,-49.2683407,4648.13,-1420.21,4423.08
Rua Espírito Santo Batista,Parque das Amendoeiras,-16.6568617,-49.1937655,7007.87,6518.83,2560.31
Rua Esther D'Oliveira,Jardim das Rosas,-16.7061431,-49.3712764,12723.62,-12378.42,-2916.47
Rua Estore Espirandelly,Setor Orientville,,,,,
Rua Etna,Jardim Petrópolis,,,,,
Rua Euclides da Cunha,Jardim Leblon,-16.6684096,-49.3284858,7931.25,-7823.07,1276.96
Rua Eugênio Jardim,Setor Leste Vila Nova,-16.6708578,-49.2352246,2334.11,2105.23,1004.89
Rua Eunice Weaver,Conjunto Vera Cruz,-16.6646115,-49.3844768,13896.31,-13783.69,1699.06
Rua Eunice de Alencar Braga Costa Campos,Residencial Recanto dos Buritis,-16.7105824,-49.1865599,8048.3,7285.92,-3409.83
Rua Euzébio de Queiroz,Sítios de Recreio Mansões do Campus,-16.5718913,-49.2850278,12428.85,-3196.66,12003.33
Rua Everardo de Souza,Residencial Barravento,-16.6189384,-49.3084092,8850.09,-5685.77,6774.84
Rua Eça Negreiros,Vila Rosa,-16.7438837,-49.2978093,8450.09,-4557.34,-7110.7
Rua F,Residencial Recreio Panorama Extensão,-16.6297507,-49.3050034,7711.76,-5323.2,5573.24
Rua F,Setor Parque Tremendão,-16.6172583,-49.3302927,10623.42,-8015.42,6961.56
Rua F,Setor Progresso,-16.6470986,-49.2925342,5412.01,-3995.77,3645.32
Rua F,Setor São José,-16.6617253,-49.2988131,5085.8,-4664.2,2019.81
Rua F,Sítio de Recreio Panorama,-16.6302704,-49.3072006,7834.44,-5557.11,5515.48
Rua F,Vila Maria Dilce,-16.6302704,-49.3072006,7834.44,-5557.11,5515.48
Rua F 59,Setor Faiçalville,-16.7391528,-49.3111689,8899.09,-5979.56,-6584.94
Rua F1,Setor Faiçalville,-16.6290475,-49.3065811,7884.69,-5491.16,5651.39
Rua F10,Residencial Fidelis,-16.7445483,-49.3666244,13892.27,-11883.18,-7184.56
Rua F10,Residencial Flórida,-16.7445483,-49.3666244,13892.27,-11883.18,-7184.56
Rua F10,Setor Faiçalville,-16.7355009,-49.3179978,9123.52,-6706.55,-6179.09
Rua F11,Residencial Flórida,-16.7368197,-49.3180946,9231.01,-6716.85,-6325.65
Rua F12,Residencial Flórida,-16.7463463,-49.36546,13891.55,-11759.22,-7384.37
Rua F13,Residencial Flórida,-16.7336923,-49.316825,8895.64,-6581.69,-5978.1
Rua F13,Setor Faiçalville,-16.7336923,-49.316825,8895.64,-6581.69,-5978.1
Rua F14,Residencial Flórida,-16.7129094,-49.3456888,10332.89,-9654.44,-3668.43
Rua F15,Setor Faiçalville,-16.7357571,-49.3162993,9010.94,-6525.73,-6207.56
Rua F17,Residencial Flórida,-16.712645,-49.3438519,10139.65,-9458.89,-3639.05
Rua F17,Setor Faiçalville,-16.7337213,-49.3144139,8709.49,-6325.02,-5981.32
Rua F18,Setor Faiçalville,-16.7351043,-49.3139991,8784.2,-6280.86,-6135.02
Rua F2,Setor Faiçalville,-16.6294645,-49.3059662,7805.79,-5425.7,5605.05
Rua F20,Setor Faiçalville,,,,,
Rua F21,Setor Faiçalville,-16.7331303,-49.3106094,8373.15,-5920.0,-5915.64
Rua F22,Setor Faiçalville,-16.7362145,-49.3117325,8701.58,-6039.56,-6258.4
Rua F24,Setor Faiçalville,,,,,
Rua F25,Setor Faiçalville,-16.7389611,-49.316844,9301.05,-6583.72,-6563.63
Rua F26,Setor Faiçalville,-16.7398259,-49.3167602,9362.92,-6574.8,-6659.74
Rua F27,Setor Faiçalville,-16.7398604,-49.3144184,9192.21,-6325.5,-6663.58
Rua F29,Setor Faiçalville,,,,,
Rua F3,Residencial Flórida,-16.7457699,-49.3669897,13996.14,-11922.07,-7320.32
Rua F3,Setor Faiçalville,-16.7457699,-49.3669897,13996.14,-11922.07,-7320.32
Rua F30,Setor Faiçalville,,,,,
Rua F31,Setor Faiçalville,,,,,
Rua F32,Setor Faiçalville,-16.7433452,-49.3173523,9688.41,-6637.83,-7050.85
Rua F33,Setor Faiçalville,,,,,
Rua F34,Setor Faiçalville,,,,,
Rua F35,Setor Faiçalville,-16.744719,-49.3124069,9451.26,-6111.36,-7203.53
Rua F36,Setor Faiçalville,,,,,
Rua F37,Setor Faiçalville,-16.7431623,-49.3238272,10159.35,-7327.13,-7030.53
Rua F38,Setor Faiçalville,,,,,
Rua F4,Residencial Flórida,-16.7217325,-49.2438606,4800.48,1185.87,-4648.97
Rua F4,Setor Faiçalville,-16.7217325,-49.2438606,4800.48,1185.87,-4648.97
Rua F40,Setor Faiçalville,-16.7443626,-49.3231495,10200.72,-7254.98,-7163.92
Rua F41,Setor Faiçalville,,,,,
Rua F43,Setor Faiçalville,,,,,
Rua F44,Setor Faiçalville,,,,,
Rua F45,Setor Faiçalville,,,,,
Rua F46,Setor Faiçalville,-16.7480036,-49.3226323,10451.08,-7199.92,-7568.55
Rua F47,Setor Faiçalville,,,,,
Rua F48,Setor Faiçalville,-16.7461284,-49.3162277,9836.19,-6518.11,-7360.16
Rua F49,Setor Faiçalville,-16.7482222,-49.3176509,10111.04,-6669.62,-7592.85
Rua F5,Residencial Fidelis,,,,,
Rua F5,Setor Faiçalville,-16.6893452,-49.2046427,5465.59,5360.88,-1049.67
Rua F50,Setor Faiçalville,,,,,
Rua F51,Setor Faiçalville,,,,,
Rua F53,Setor Faiçalville,-16.7472433,-49.312894,9699.89,-6163.21,-7484.06
Rua F54,Setor Faiçalville,,,,,
Rua F55,Setor Faiçalville,-16.7493118,-49.3123279,9841.0,-6102.95,-7713.94
Rua F57,Setor Faiçalville,-16.7350835,-49.309056,8413.99,-5754.63,-6132.71
Rua F6,Residencial Flórida,,,,,
Rua F61,Setor Faiçalville,,,,,
Rua F63,Setor Faiçalville,-16.743164,-49.3068082,8940.3,-5515.34,-7030.72
Rua F64,Setor Faiçalville,-16.7422205,-49.3056648,8782.66,-5393.61,-6925.86
Rua F66,Setor Faiçalville,-16.7474183,-49.3096459,9499.14,-5817.43,-7503.51
Rua F7,Residencial Fidelis,,,,,
Rua F70,Setor Faiçalville,,,,,
Rua F9,Residencial Fidelis,-16.71254,-49.34579,10328.47,-9665.22,-3627.38
Rua F9,Residencial Flórida,-16.71254,-49.34579,10328.47,-9665.22,-3627.38
Rua FL 32,Parque das Flores,-16.6269573,-49.2903077,6986.0,-3758.75,5883.68
Rua FL 32,Residencial Itália,-16.6269573,-49.2903077,6986.0,-3758.75,5883.68
Rua FL 41,Parque das Flores,-16.6231434,-49.2973008,7754.79,-4503.21,6307.53
Rua FL 5,Chácaras Rio Branco,-16.6256977,-49.2864972,6898.11,-3353.09,6023.66
Rua FL 5,Parque das Flores,-16.6256977,-49.2864972,6898.11,-3353.09,6023.66
Rua FL 6,Parque das Flores,-16.6269763,-49.2863554,6766.77,-3338.0,5881.57
Rua FL 9,Parque das Flores,-16.625909,-49.2867943,6893.09,-3384.72,6000.18
Rua FL10,Parque das Flores,-16.6286932,-49.2878802,6685.07,-3500.32,5690.76
Rua FL11,Parque das Flores,-16.62976,-49.2865384,6509.4,-3357.48,5572.21
Rua FL12,Parque das Flores,-16.6292645,-49.2871411,6589.79,-3421.64,5627.27
Rua FL13,Parque das Flores,-16.6284157,-49.2875979,6695.72,-3470.27,5721.6
Rua FL15,Parque das Flores,-16.6271036,-49.2902389,6968.34,-3751.42,5867.42
Rua FL16,Parque das Flores,-16.6260549,-49.289615,7031.79,-3685.0,5983.97
Rua FL17,Parque das Flores,-16.630446,-49.2899106,6638.56,-3716.47,5495.97
Rua FL18,Parque das Flores,-16.6284511,-49.2909867,6886.6,-3831.03,5717.67
Rua FL19,Parque das Flores,-16.6281884,-49.2913658,6933.38,-3871.39,5746.86
Rua FL2,Parque das Flores,,,,,
Rua FL20,Parque das Flores,-16.629673,-49.2885621,6631.4,-3572.92,5581.87
Rua FL21,Parque das Flores,-16.6305432,-49.2906062,6671.46,-3790.52,5485.17
Rua FL22,Parque das Flores,-16.6296984,-49.2900451,6715.54,-3730.79,5579.05
Rua FL23,Parque das Flores,-16.6321047,-49.2883084,6390.27,-3545.91,5311.63
Rua FL24,Parque das Flores,-16.6303551,-49.2899282,6647.99,-3718.35,5506.07
Rua FL25,Parque das Flores,-16.6302541,-49.2884476,6570.44,-3560.73,5517.3
Rua FL27,Parque das Flores,-16.6314572,-49.2885539,6464.7,-3572.04,5383.59
Rua FL28,Parque das Flores,-16.6327966,-49.2884951,6337.6,-3565.78,5234.74
Rua FL3,Parque das Flores,,,,,
Rua FL30,Parque das Flores,,,,,
Rua FL31,Parque das Flores,-16.6260575,-49.2906433,7089.6,-3794.47,5983.68
Rua FL33,Parque das Flores,-16.6238303,-49.2913135,7337.35,-3865.82,6231.19
Rua FL34,Parque das Flores,-16.6247381,-49.2912679,7249.18,-3860.97,6130.3
Rua FL36,Parque das Flores,-16.6248816,-49.2929967,7335.68,-4045.01,6114.36
Rua FL39,Parque das Flores,-16.6240049,-49.2945779,7510.43,-4213.34,6211.79
Rua FL40,Parque das Flores,-16.6215962,-49.2939835,7699.21,-4150.06,6479.47
Rua FL42,Parque das Flores,-16.624812,-49.2969895,7584.95,-4470.07,6122.09
Rua FL42,Residencial das Acácias,-16.624812,-49.2969895,7584.95,-4470.07,6122.09
Rua FL43,Parque das Flores,-16.6246327,-49.2971288,7609.8,-4484.9,6142.02
Rua FL44,Parque das Flores,-16.624187,-49.2961664,7590.18,-4382.44,6191.55
Rua FL46,Parque das Flores,-16.6247284,-49.2949225,7464.84,-4250.02,6131.38
Rua FL47,Parque das Flores,-16.6254841,-49.2948095,7389.02,-4237.99,6047.4
Rua FL49,Parque das Flores,,,,,
Rua FL8,Parque das Flores,-16.6270224,-49.2872363,6809.15,-3431.77,5876.44
Rua FN 1,Jardim Fonte Nova,-16.6272849,-49.3143592,8614.9,-6319.19,5847.27
Rua FN 12,Jardim Belvedere,-16.6216908,-49.3142166,9038.31,-6304.01,6468.96
Rua FN 28,Jardim Fonte Nova,-16.6272446,-49.3129992,8512.2,-6174.41,5851.75
Rua FN 29,Jardim Fonte Nova,-16.6244578,-49.3129015,8720.91,-6164.01,6161.46
Rua FN 33 Robson Ordones,Jardim Fonte Nova I,-16.6278859,-49.3177498,8839.54,-6680.15,5780.48
Rua FN 4,Jardim Fonte Nova,-16.6247609,-49.3144025,8811.25,-6323.8,6127.77
Rua FN 40,Residencial Barravento,-16.6241293,-49.3108673,8595.32,-5947.46,6197.96
Rua FN10,Jardim Fonte Nova,-16.6224184,-49.314424,8996.08,-6326.09,6388.1
Rua FN11,Jardim Fonte Nova,-16.6224874,-49.3130408,8887.49,-6178.84,6380.43
Rua FN13,Jardim Fonte Nova,-16.6216313,-49.3123062,8902.27,-6100.64,6475.57
Rua FN14,Jardim Fonte Nova,-16.6210602,-49.3121397,8936.51,-6082.91,6539.04
Rua FN17,Jardim Fonte Nova,-16.6200255,-49.3127747,9066.88,-6150.51,6654.03
Rua FN18,Jardim Fonte Nova,-16.6200904,-49.3121689,9017.87,-6086.02,6646.82
Rua FN19,Jardim Fonte Nova,-16.6202767,-49.3116107,8962.48,-6026.6,6626.11
Rua FN21,Jardim Fonte Nova,-16.6204262,-49.3104365,8866.38,-5901.59,6609.5
Rua FN22,Jardim Fonte Nova,-16.6231364,-49.3118256,8745.68,-6049.47,6308.31
Rua FN23,Jardim Fonte Nova,-16.6243224,-49.3115634,8631.45,-6021.56,6176.5
Rua FN24,Jardim Fonte Nova,-16.6243014,-49.3116376,8638.64,-6029.46,6178.84
Rua FN26,Jardim Fonte Nova,-16.6252858,-49.3124354,8620.75,-6114.39,6069.44
Rua FN27,Residencial Jardim Belvedere Expansão,-16.6273133,-49.3123416,8456.2,-6104.41,5844.12
Rua FN30,Jardim Fonte Nova I,-16.6278597,-49.3129575,8462.05,-6169.97,5783.39
Rua FN40,Residencial Jardim Belvedere Expansão,-16.6239513,-49.3108175,8605.95,-5942.15,6217.74
Rua FN48,Jardim Fonte Nova,,,,,
Rua FN6,Jardim Fonte Nova,-16.6254141,-49.3158963,8876.49,-6482.83,6055.18
Rua FN8,Jardim Fonte Nova,-16.6239925,-49.3150625,8921.22,-6394.06,6213.17
Rua FP1,Recreio do Funcionário Público,-16.7116338,-49.3517776,10894.79,-10302.64,-3526.67
Rua FP25,Recreio do Funcionário Público,-16.7076336,-49.3468333,10255.66,-9776.28,-3082.12
Rua FP8,Recreio do Funcionário Público,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua FV 20,Residencial Fidelis,-16.7438121,-49.3697069,14132.88,-12211.33,-7102.74
Rua FV 32,Residencial Fidelis,-16.7450925,-49.3668388,13943.16,-11906.01,-7245.04
Rua FV 36,Residencial Fidelis,-16.7450668,-49.3668725,13944.74,-11909.59,-7242.18
Rua FV 39,Residencial Forteville Extensão,-16.7498219,-49.3726946,14749.69,-12529.4,-7770.63
Rua FV10,Residencial Forteville,,,,,
Rua FV13,Residencial Forteville,-16.7430617,-49.3751091,14592.72,-12786.44,-7019.35
Rua FV16,Residencial Forteville,-16.7442299,-49.3752799,14671.52,-12804.62,-7149.17
Rua FV19,Residencial Forteville,-16.7468477,-49.3711925,14440.84,-12369.49,-7440.1
Rua FV2,Residencial Forteville,-16.7386179,-49.3716343,14032.96,-12416.52,-6525.49
Rua FV21,Residencial Forteville Extensão,-16.7479488,-49.3706089,14451.32,-12307.36,-7562.46
Rua FV24,Residencial Forteville Extensão,-16.7472693,-49.3706832,14418.68,-12315.27,-7486.95
Rua FV3,Residencial Forteville,-16.738828,-49.3711405,13997.35,-12363.95,-6548.84
Rua FV30,Residencial Forteville Extensão,-16.7481388,-49.3694983,14361.83,-12189.13,-7583.58
Rua FV31,Residencial Forteville Extensão,-16.7477393,-49.3725374,14614.66,-12512.66,-7539.18
Rua FV32,Residencial Recanto das Emas,-16.7382467,-49.3673868,13614.47,-11964.34,-6484.24
Rua FV37,Residencial Forteville Extensão,-16.748827,-49.3726928,14691.54,-12529.2,-7660.06
Rua FV5,Residencial Forteville,-16.7417011,-49.3699827,14041.98,-12240.69,-6868.14
Rua FV9,Residencial Forteville,-16.7423586,-49.3734399,14399.29,-12608.74,-6941.21
Rua Felino Ivo Bezerra,Residencial Belo Horizonte,-16.6405431,-49.1850616,8640.57,7445.42,4373.85
Rua Felipe Camarão,Jardim da Luz,-16.7234242,-49.2380234,5166.39,1807.28,-4836.97
Rua Felismino Feital,Cidade Jardim,-16.6889826,-49.3077373,5707.31,-5614.25,-1009.38
Rua Ferrara,Jardins Itália,-16.7194275,-49.2163417,6022.5,4115.44,-4392.81
Rua Finlândia,Jardim Europa,-16.7105187,-49.308614,6648.24,-5707.58,-3402.75
Rua Flemington,Residencial Manhattan,-16.7063662,-49.2971195,5365.24,-4483.91,-2941.27
Rua Flemington,Vila Alpes,-16.7083349,-49.29833199999999,5594.4,-4612.99,-3160.05
Rua Florença,Vila Alvorada,-16.7067208,-49.3103094,6602.84,-5888.06,-2980.67
Rua Florianópolis,Alto da Glória,-16.7156826,-49.2369129,4420.65,1925.5,-3976.63
Rua Florianópolis,Residencial Ana Clara,-16.776752,-49.3680943,16156.19,-12039.66,-10763.45
Rua Florianópolis,Vila Paraíso,-16.6585155,-49.2749301,3187.68,-2121.7,2376.52
Rua Fontana,Jardins Itália,-16.7243975,-49.2168783,6400.48,4058.32,-4945.14
Rua Formosa,Nossa Senhora de Fátima,-16.6846417,-49.320549,7001.82,-6978.14,-526.96
Rua Fortaleza,Alto da Glória,-16.7186281,-49.2565487,4309.53,-164.87,-4303.97
Rua Fortaleza,Jardim das Esmeraldas,-16.7186281,-49.2565487,4309.53,-164.87,-4303.97
Rua Fortaleza,Residencial Petrópolis,-16.6868491,-49.2707899,1850.86,-1680.94,-772.27
Rua Fortaleza,Setor Urias Magalhães,-16.6397782,-49.2742721,4911.05,-2051.65,4458.85
Rua Fortaleza,Vila Jardim São Judas Tadeu,-16.6163063,-49.242426,7197.06,1338.59,7067.36
Rua Fortaleza,Vila João Vaz,-16.6533584,-49.3139716,6940.6,-6277.93,2949.65
Rua Francisca Costa Cunha D. Tita,Setor Aeroporto,-16.6679225,-49.2706684,2135.26,-1668.01,1331.09
Rua Francisco Alves Fortes,Lorena Parque,-16.6964767,-49.3559008,10904.03,-10741.58,-1842.22
Rua Francisco Alves Fortes,Sítio de Recreio Garavelo - Residencial Maratá,-16.699396,-49.3544011,10806.95,-10581.93,-2166.65
Rua Francisco Alves de Assis,Araguaia Park,-16.6998436,-49.3514637,10511.01,-10269.22,-2216.39
Rua Francisco Barbosa,Residencial Antônio Barbosa,-16.5893816,-49.2683439,10165.09,-1420.55,10059.58
Rua Francisco Godinho,Vila Rosa,-16.7442338,-49.2925874,8197.43,-4001.44,-7149.61
Rua Francisco Rodrigues de Souza,Condomínio do Lago,-16.6639308,-49.3679541,12162.27,-12024.74,1774.7
Rua Francisco Rodrigues de Souza,Condomínio do Lago 1ª Etapa,-16.6639308,-49.3679541,12162.27,-12024.74,1774.7
Rua Francisco Vilela,Capuava,-16.6518626,-49.3207111,7662.69,-6995.4,3115.88
Rua Francisco de Oliveira Lopes,Cidade Jardim,-16.6839539,-49.3124261,6133.33,-6113.4,-450.52
Rua França,Residencial Buena Vista I,-16.7292288,-49.4084799,17241.74,-16338.99,-5482.06
Rua Frei Caneca,Sítios de Recreio Mansões do Campus,-16.565657,-49.2917052,13291.62,-3907.52,12696.16
Rua G,Condomínio Jardim das Oliveiras,-16.7020453,-49.3649671,11968.65,-11706.75,-2461.07
Rua G,Elísio Campos,-16.6651141,-49.2326145,2896.38,2383.09,1643.2
Rua G,Jardim Curitiba,-16.6089451,-49.3315171,11344.67,-8145.77,7885.43
Rua G,Recreio Panorama,-16.629522,-49.309071,8034.91,-5756.23,5598.66
Rua G1,Goiá,-16.6905044,-49.3372463,8839.32,-8755.68,-1178.5
Rua G1,Setor Grajaú,-16.7597355,-49.3618133,14429.01,-11371.01,-8872.35
Rua G12,Setor Grajaú,-16.7624647,-49.3656675,14939.23,-11781.31,-9175.66
Rua G16,Setor Grajaú,-16.7602572,-49.3636017,14615.01,-11561.39,-8930.33
Rua G17,Setor Grajaú,-16.7602572,-49.3636017,14615.01,-11561.39,-8930.33
Rua G4,Vila Redenção,-16.7213048,-49.2425383,4791.49,1326.63,-4601.44
Rua G5,Goiá,-16.6905944,-49.3399745,9128.69,-9046.12,-1188.5
Rua GB1,Jardim Guanabara II,-16.6157227,-49.2140334,8364.97,4361.17,7132.21
Rua GB33,Jardim Guanabara III,-16.6112135,-49.2200719,8495.83,3718.34,7633.33
Rua GB35,Jardim Guanabara III,-16.6125893,-49.2180706,8455.64,3931.39,7480.44
Rua GB37,Jardim Guanabara III,-16.6140885,-49.2179885,8312.58,3940.13,7313.83
Rua GB39,Jardim Guanabara III,-16.6130436,-49.2195684,8337.51,3771.94,7429.95
Rua GB42,Jardim Guanabara III,-16.6120865,-49.2229841,8276.05,3408.31,7536.31
Rua GB47,Jardim Guanabara III,-16.6139527,-49.223362,8070.53,3368.08,7328.92
Rua GB8,Jardim Guanabara II,-16.6120528,-49.2128249,8780.9,4489.83,7540.06
Rua GB9,Jardim Guanabara IV,-16.6095969,-49.2105796,9138.17,4728.86,7812.99
Rua GGC 14,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC 27,Residencial Goiânia Golfe Clube,-16.7483974,-49.1766875,11294.62,8336.9,-7612.32
Rua GGC 43,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC 6,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC1,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC10,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC12,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC13,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC15,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC16,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC17,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC18,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC19,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC20,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC21,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC24,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC25,Residencial Goiânia Golfe Clube,-16.7472629,-49.1742147,11407.24,8600.15,-7486.24
Rua GGC26,Residencial Goiânia Golfe Clube,-16.7478061,-49.1754684,11346.98,8466.68,-7546.61
Rua GGC28,Residencial Goiânia Golfe Clube,-16.7492103,-49.1777402,11273.68,8224.83,-7702.66
Rua GGC29,Residencial Goiânia Golfe Clube,-16.7485306,-49.1782026,11186.11,8175.61,-7627.12
Rua GGC3,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC30,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC31,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC32,Residencial Goiânia Golfe Clube,-16.7507185,-49.1815616,11098.52,7818.02,-7870.27
Rua GGC33,Residencial Goiânia Golfe Clube,-16.751119,-49.1823083,11074.42,7738.53,-7914.78
Rua GGC35,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC36,Residencial Goiânia Golfe Clube,-16.752888,-49.179977,11388.68,7986.71,-8111.37
Rua GGC37,Residencial Goiânia Golfe Clube,-16.7536908,-49.1800306,11448.47,7981.01,-8200.59
Rua GGC38,Residencial Goiânia Golfe Clube,-16.7539711,-49.1792744,11527.03,8061.51,-8231.74
Rua GGC4,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC41,Residencial Goiânia Golfe Clube,-16.7554766,-49.176975,11818.08,8306.29,-8399.05
Rua GGC42,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GGC44,Residencial Goiânia Golfe Clube,-16.7549604,-49.1740026,12002.77,8622.73,-8341.68
Rua GGC45,Residencial Goiânia Golfe Clube,-16.7551241,-49.1745288,11975.26,8566.71,-8359.88
Rua GGC46,Residencial Goiânia Golfe Clube,-16.7551429,-49.1737354,12037.33,8651.17,-8361.97
Rua GGC47,Residencial Goiânia Golfe Clube,-16.7556429,-49.1733059,12108.85,8696.9,-8417.53
Rua GGC55,Residencial Goiânia Golfe Clube,-16.7533076,-49.1732435,11934.58,8703.54,-8158.0
Rua GGC8,Residencial Goiânia Golfe Clube,-16.74677,-49.1678638,11891.29,9276.24,-7431.46
Rua GLS,Residencial Vale dos Sonhos I,,,,,
Rua GP1,Residencial Goyaz Park,,,,,
Rua GP12,Residencial Goyaz Park,-16.7048227,-49.3790366,13498.58,-13204.54,-2769.73
Rua GP14,Residencial Goyaz Park,-16.7041154,-49.3788516,13463.37,-13184.85,-2691.13
Rua GP6,Residencial Goyaz Park,,,,,
Rua GP8,Residencial Goyaz Park,,,,,
Rua GR19,Loteamento Grande Retiro,-16.6686156,-49.18184280000001,7893.03,7788.08,1254.07
Rua GR2,Loteamento Grande Retiro,-16.6686156,-49.18184280000001,7893.03,7788.08,1254.07
Rua GR20,Loteamento Grande Retiro,-16.6686156,-49.18184280000001,7893.03,7788.08,1254.07
Rua GR6,Loteamento Grande Retiro,-16.6686156,-49.18184280000001,7893.03,7788.08,1254.07
Rua GV 21,Residencial Granville,-16.7143871,-49.3324075,9092.63,-8240.56,-3832.65
Rua GV1,Residencial Granville,-16.7146893,-49.3286557,8746.74,-7841.15,-3866.24
Rua GV10,Residencial Goiânia Viva,-16.6947411,-49.3510358,10361.24,-10223.67,-1649.34
Rua GV10,Residencial Granville,-16.7143204,-49.3254947,8427.4,-7504.64,-3825.24
Rua GV11,Residencial Granville,-16.714312,-49.3246156,8343.67,-7411.06,-3824.31
Rua GV12,Residencial Granville,-16.7140474,-49.3243635,8306.33,-7384.22,-3794.9
Rua GV13,Residencial Granville,-16.7169937,-49.3264855,8659.09,-7610.12,-4122.33
Rua GV14,Residencial Granville,-16.7185746,-49.327638,8851.25,-7732.81,-4298.02
Rua GV15,Residencial Granville,-16.7132615,-49.3311249,8916.18,-8104.02,-3707.56
Rua GV17,Residencial Granville,-16.7110034,-49.3319611,8896.7,-8193.04,-3456.61
Rua GV18,Residencial Granville,-16.710896,-49.3326393,8958.7,-8265.23,-3444.68
Rua GV2,Residencial Goiânia Viva,-16.6946386,-49.3562143,10904.41,-10774.95,-1637.94
Rua GV2,Residencial Granville,-16.7147436,-49.32779,8666.84,-7748.99,-3872.27
Rua GV24,Residencial Granville,-16.7166757,-49.3310462,9073.15,-8095.64,-4086.99
Rua GV25,Residencial Granville,-16.7168995,-49.3318285,9158.75,-8178.92,-4111.86
Rua GV28,Residencial Granville,-16.7125039,-49.3316583,8933.37,-8160.8,-3623.37
Rua GV29,Residencial Granville,-16.7145213,-49.3290039,8771.81,-7878.22,-3847.57
Rua GV3,Residencial Granville,-16.7138579,-49.327405,8586.43,-7708.01,-3773.84
Rua GV30,Residencial Granville,-16.7145602,-49.3297401,8844.22,-7956.59,-3851.89
Rua GV34,Residencial Granville,-16.7149266,-49.3320145,9080.25,-8198.72,-3892.61
Rua GV35,Residencial Granville,-16.7158204,-49.3312713,9052.21,-8119.6,-3991.94
Rua GV39,Residencial Granville,,,,,
