rua,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Rua Elpídio José Faria,-16.7491083,-49.3715127,14600.92,-12403.57,-7691.32
Rua Elpídio Rodrigues,-16.7253677,-49.4021252,16464.8,-15662.48,-5052.96
Rua Ema 6,-16.741013,-49.3645461,13501.37,-11661.93,-6791.67
Rua Ema1,,,,,
Rua Ema10,-16.7397307,-49.3663126,13593.95,-11849.99,-6649.16
Rua Ema11,-16.7396305,-49.3668934,13642.5,-11911.82,-6638.03
Rua Ema12,-16.7417643,-49.3681342,13874.12,-12043.91,-6875.16
Rua Ema15,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua Ema16,-16.7362376,-49.3663782,13414.41,-11856.97,-6260.96
Rua Ema2,-16.73977,-49.36606,13572.64,-11823.1,-6653.53
Rua Ema7,-16.7419,-49.36521,13612.18,-11732.61,-6890.24
Rua Embratel,-16.627636,-49.3004788,7566.13,-4841.53,5808.25
Rua Emilie Rassi,-16.6558533,-49.351626,10634.52,-10286.5,2672.38
Rua Emmental,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua Entre Rios,-16.7136216,-49.3017293,6231.41,-4974.65,-3747.58
Rua Eremita Ribeiro,-16.7195632,-49.3741793,13437.59,-12687.45,-4407.89
Rua Erick Maia Peixoto,-16.7292244,-49.3382411,10424.78,-8861.58,-5481.57
Rua Ernesto Teodoro Moraes,-16.7491083,-49.3715127,14600.92,-12403.57,-7691.32
Rua Erondina M. Rodrigues,-16.6223181,-49.3077255,8517.41,-5612.99,6399.25
Rua Escócia,-16.7199643,-49.3085957,7240.87,-5705.63,-4452.46
Rua Esmeralda,-16.6818056,-49.2150961,4255.67,4248.04,-211.77
Rua Esperança,-16.6440036,-49.3286241,8800.17,-7837.79,3989.27
Rua Espinós,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua Espírito Santo,-16.6803949,-49.3314733,8145.82,-8141.11,-55.0
Rua Espírito Santo Batista,-16.6568617,-49.1937655,7007.87,6518.83,2560.31
Rua Esther D'Oliveira,-16.7061431,-49.3712764,12723.62,-12378.42,-2916.47
Rua Estore Espirandelly,-16.7501946,-49.3604059,13678.64,-11221.18,-7812.05
Rua Etna,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua Euclides da Cunha,-16.6684096,-49.3284858,7931.25,-7823.07,1276.96
Rua Eugênio Jardim,-16.6708578,-49.2352246,2334.11,2105.23,1004.89
Rua Eunice Weaver,-16.6646115,-49.3844768,13896.31,-13783.69,1699.06
Rua Eunice de Alencar Braga Costa Campos,-16.7105824,-49.1865599,8048.3,7285.92,-3409.83
Rua Euzébio de Queiroz,-16.6781583,-49.3933418,14736.98,-14727.43,193.56
Rua Everardo de Souza,-16.6189384,-49.3084092,8850.09,-5685.77,6774.84
Rua Eça Negreiros,-16.7438837,-49.2978093,8450.09,-4557.34,-7110.7
Rua F,-16.6578518,-49.2871349,4210.47,-3420.98,2450.28
Rua F 59,-16.7391528,-49.3111689,8899.09,-5979.56,-6584.94
Rua F1,-16.6290475,-49.3065811,7884.69,-5491.16,5651.39
Rua F10,-16.7355009,-49.3179978,9123.52,-6706.55,-6179.09
Rua F11,-16.7368197,-49.3180946,9231.01,-6716.85,-6325.65
Rua F12,-16.7463463,-49.36546,13891.55,-11759.22,-7384.37
Rua F13,-16.7336923,-49.316825,8895.64,-6581.69,-5978.1
Rua F14,-16.7129094,-49.3456888,10332.89,-9654.44,-3668.43
Rua F15,-16.7170509,-49.0990008,17120.68,16607.18,-4128.69
Rua F17,-16.71327,-49.34376,10155.69,-9449.11,-3708.51
Rua F18,-16.7351043,-49.3139991,8784.2,-6280.86,-6135.02
Rua F2,-16.6294645,-49.3059662,7805.79,-5425.7,5605.05
Rua F20,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F21,-16.7331303,-49.3106094,8373.15,-5920.0,-5915.64
Rua F22,-16.7362145,-49.3117325,8701.58,-6039.56,-6258.4
Rua F24,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F25,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F26,-16.7398259,-49.3167602,9362.92,-6574.8,-6659.74
Rua F27,-16.7398604,-49.3144184,9192.21,-6325.5,-6663.58
Rua F29,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F3,-16.6880884,-49.2038992,5518.58,5440.03,-910.0
Rua F30,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F31,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F32,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F33,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F34,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F35,-16.744719,-49.3124069,9451.26,-6111.36,-7203.53
Rua F36,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F37,-16.7431623,-49.3238272,10159.35,-7327.13,-7030.53
Rua F38,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F4,-16.7217325,-49.2438606,4800.48,1185.87,-4648.97
Rua F40,-16.7443626,-49.3231495,10200.72,-7254.98,-7163.92
Rua F41,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F43,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F44,-16.743826,-49.3200335,9924.52,-6923.26,-7104.29
Rua F45,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F46,-16.7480036,-49.3226323,10451.08,-7199.92,-7568.55
Rua F47,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F48,-16.7461284,-49.3162277,9836.19,-6518.11,-7360.16
Rua F49,-16.7482222,-49.3176509,10111.04,-6669.62,-7592.85
Rua F5,-16.6893452,-49.2046427,5465.59,5360.88,-1049.67
Rua F50,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F51,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F53,-16.7472433,-49.312894,9699.89,-6163.21,-7484.06
Rua F54,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F55,-16.7493118,-49.3123279,9841.0,-6102.95,-7713.94
Rua F57,-16.7350835,-49.309056,8413.99,-5754.63,-6132.71
Rua F6,-16.6831663,-49.1788387,8120.47,8107.89,-362.99
Rua F61,-16.7084141,-49.1119114,15566.44,15232.76,-3168.86
Rua F63,-16.743164,-49.3068082,8940.3,-5515.34,-7030.72
Rua F64,-16.7422205,-49.3056648,8782.66,-5393.61,-6925.86
Rua F66,-16.7474183,-49.3096459,9499.14,-5817.43,-7503.51
Rua F7,-16.6838567,-49.1786184,8147.68,8131.34,-439.72
Rua F70,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua F9,-16.7178136,-49.1030749,16721.06,16173.47,-4213.45
Rua FL 32,-16.6269573,-49.2903077,6986.0,-3758.75,5883.68
Rua FL 41,-16.6231434,-49.2973008,7754.79,-4503.21,6307.53
Rua FL 5,-16.6250932,-49.2867604,6970.49,-3381.11,6090.84
Rua FL 6,-16.6267313,-49.29025859999999,7004.38,-3753.52,5908.79
Rua FL 9,-16.6266457,-49.2874046,6854.37,-3449.69,5918.31
Rua FL10,,,,,
Rua FL11,,,,,
Rua FL12,-16.6292645,-49.2871411,6589.79,-3421.64,5627.27
Rua FL13,,,,,
Rua FL15,-16.6271036,-49.2902389,6968.34,-3751.42,5867.42
Rua FL16,-16.6260549,-49.289615,7031.79,-3685.0,5983.97
Rua FL17,-16.630446,-49.2899106,6638.56,-3716.47,5495.97
Rua FL18,-16.6284511,-49.2909867,6886.6,-3831.03,5717.67
Rua FL19,-16.6281884,-49.2913658,6933.38,-3871.39,5746.86
Rua FL2,,,,,
Rua FL20,-16.629673,-49.2885621,6631.4,-3572.92,5581.87
Rua FL21,-16.6305432,-49.2906062,6671.46,-3790.52,5485.17
Rua FL22,-16.6296984,-49.2900451,6715.54,-3730.79,5579.05
Rua FL23,-16.6321047,-49.2883084,6390.27,-3545.91,5311.63
Rua FL24,-16.6303551,-49.2899282,6647.99,-3718.35,5506.07
Rua FL25,-16.6302541,-49.2884476,6570.44,-3560.73,5517.3
Rua FL27,-16.6314572,-49.2885539,6464.7,-3572.04,5383.59
Rua FL28,-16.6327966,-49.2884951,6337.6,-3565.78,5234.74
Rua FL3,,,,,
Rua FL30,,,,,
Rua FL31,-16.6260575,-49.2906433,7089.6,-3794.47,5983.68
Rua FL33,-16.6238303,-49.2913135,7337.35,-3865.82,6231.19
Rua FL34,-16.6247381,-49.2912679,7249.18,-3860.97,6130.3
Rua FL36,-16.6248816,-49.2929967,7335.68,-4045.01,6114.36
Rua FL39,,,,,
Rua FL40,-16.6215962,-49.2939835,7699.21,-4150.06,6479.47
Rua FL42,-16.624812,-49.2969895,7584.95,-4470.07,6122.09
Rua FL43,-16.6246327,-49.2971288,7609.8,-4484.9,6142.02
Rua FL44,-16.624187,-49.2961664,7590.18,-4382.44,6191.55
Rua FL46,-16.6247284,-49.2949225,7464.84,-4250.02,6131.38
Rua FL47,-16.6254841,-49.2948095,7389.02,-4237.99,6047.4
Rua FL49,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua FL8,,,,,
Rua FN 1,-16.6272849,-49.3143592,8614.9,-6319.19,5847.27
Rua FN 12,-16.6216908,-49.3142166,9038.31,-6304.01,6468.96
Rua FN 28,-16.6279115,-49.3131823,8475.61,-6193.9,5777.64
Rua FN 29,-16.6251073,-49.3130952,8684.7,-6184.63,6089.27
Rua FN 33 Robson Ordones,-16.6278859,-49.3177498,8839.54,-6680.15,5780.48
Rua FN 4,-16.6267978,-49.314978,8700.08,-6385.07,5901.4
Rua FN 40,-16.6241293,-49.3108673,8595.32,-5947.46,6197.96
Rua FN10,-16.6224184,-49.314424,8996.08,-6326.09,6388.1
Rua FN11,-16.6224874,-49.3130408,8887.49,-6178.84,6380.43
Rua FN13,-16.6216313,-49.3123062,8902.27,-6100.64,6475.57
Rua FN14,-16.6210602,-49.3121397,8936.51,-6082.91,6539.04
Rua FN17,-16.6200255,-49.3127747,9066.88,-6150.51,6654.03
Rua FN18,-16.6200904,-49.3121689,9017.87,-6086.02,6646.82
Rua FN19,-16.6202767,-49.3116107,8962.48,-6026.6,6626.11
Rua FN21,-16.6204262,-49.3104365,8866.38,-5901.59,6609.5
Rua FN22,-16.6231364,-49.3118256,8745.68,-6049.47,6308.31
Rua FN23,-16.6243224,-49.3115634,8631.45,-6021.56,6176.5
Rua FN24,-16.6243014,-49.3116376,8638.64,-6029.46,6178.84
Rua FN26,-16.6252858,-49.3124354,8620.75,-6114.39,6069.44
Rua FN27,-16.6279653,-49.3123502,8406.89,-6105.32,5771.66
Rua FN30,-16.6286116,-49.3128366,8395.63,-6157.1,5699.83
Rua FN40,-16.6241293,-49.3108673,8595.32,-5947.46,6197.96
Rua FN48,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua FN6,-16.6254141,-49.3158963,8876.49,-6482.83,6055.18
Rua FN8,-16.6239925,-49.3150625,8921.22,-6394.06,6213.17
Rua FP1,-16.7116338,-49.3517776,10894.79,-10302.64,-3526.67
Rua FP25,-16.7076336,-49.3468333,10255.66,-9776.28,-3082.12
Rua FP8,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua FV 20,-16.7451733,-49.3667574,13940.43,-11897.34,-7254.01
Rua FV 32,-16.7450925,-49.3668388,13943.16,-11906.01,-7245.04
Rua FV 36,-16.7450668,-49.3668725,13944.74,-11909.59,-7242.18
Rua FV 39,-16.7498219,-49.3726946,14749.69,-12529.4,-7770.63
Rua FV10,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua FV13,-16.7430617,-49.3751091,14592.72,-12786.44,-7019.35
Rua FV16,-16.7442299,-49.3752799,14671.52,-12804.62,-7149.17
Rua FV19,-16.7468477,-49.3711925,14440.84,-12369.49,-7440.1
Rua FV2,-16.7386179,-49.3716343,14032.96,-12416.52,-6525.49
Rua FV21,-16.7479488,-49.3706089,14451.32,-12307.36,-7562.46
Rua FV24,-16.7466305,-49.3701908,14337.03,-12262.85,-7415.96
Rua FV3,-16.738828,-49.3711405,13997.35,-12363.95,-6548.84
Rua FV30,-16.7486193,-49.3698727,14423.92,-12228.98,-7636.98
Rua FV31,-16.7477393,-49.3725374,14614.66,-12512.66,-7539.18
Rua FV32,-16.7472818,-49.3682,14194.12,-12050.91,-7488.34
Rua FV37,-16.748827,-49.3726928,14691.54,-12529.2,-7660.06
Rua FV5,-16.7417011,-49.3699827,14041.98,-12240.69,-6868.14
Rua FV9,-16.7423586,-49.3734399,14399.29,-12608.74,-6941.21
Rua Felino Ivo Bezerra,-16.6404,-49.1853145,8625.44,7418.5,4389.75
Rua Felipe Camarão,-16.7234242,-49.2380234,5166.39,1807.28,-4836.97
Rua Felismino Feital,-16.6889826,-49.3077373,5707.31,-5614.25,-1009.38
Rua Ferrara,,,,,
Rua Finlândia,-16.7105187,-49.308614,6648.24,-5707.58,-3402.75
Rua Flemington,-16.7076229,-49.2982969,5546.94,-4609.25,-3080.93
Rua Florença,-16.8132638,-49.2605131,14840.99,-586.91,-14821.11
Rua Florianópolis,-16.6590032,-49.2752983,3174.02,-2160.89,2322.32
Rua Fontana,-16.7243975,-49.2168783,6400.48,4058.32,-4945.14
Rua Formosa,-16.6780796,-49.316887,6595.11,-6588.29,202.31
Rua Fortaleza,-16.643727,-49.2752647,4564.93,-2157.32,4020.01
Rua Francisca Costa Cunha D. Tita,-16.6679225,-49.2706684,2135.26,-1668.01,1331.09
Rua Francisco Alves Fortes,-16.7021449,-49.3568223,11123.59,-10839.68,-2472.14
Rua Francisco Alves de Assis,-16.6998436,-49.3514637,10511.01,-10269.22,-2216.39
Rua Francisco Barbosa,-16.5894941,-49.2670687,10134.58,-1284.8,10047.07
Rua Francisco Godinho,-16.7442338,-49.2925874,8197.43,-4001.44,-7149.61
Rua Francisco Rodrigues de Souza,-16.6639308,-49.3679541,12162.27,-12024.74,1774.7
Rua Francisco Vilela,-16.6518626,-49.3207111,7662.69,-6995.4,3115.88
Rua Francisco de Oliveira Lopes,-16.6839539,-49.3124261,6133.33,-6113.4,-450.52
Rua França,-16.6952311,-49.225202,3602.7,3172.2,-1703.79
Rua Frei Caneca,-16.565657,-49.2917052,13291.62,-3907.52,12696.16
Rua G,-16.6688842,-49.2823454,3159.88,-2911.1,1224.22
Rua G1,-16.691067,-49.3372625,8849.58,-8757.41,-1241.02
Rua G12,-16.7624647,-49.3656675,14939.23,-11781.31,-9175.66
Rua G16,,,,,
Rua G17,,,,,
Rua G4,-16.7213048,-49.2425383,4791.49,1326.63,-4601.44
Rua G5,-16.6958682,-49.2378698,2545.93,1823.63,-1774.59
Rua GB1,-16.6157227,-49.2140334,8364.97,4361.17,7132.21
Rua GB33,-16.6112135,-49.2200719,8495.83,3718.34,7633.33
Rua GB35,-16.6125893,-49.2180706,8455.64,3931.39,7480.44
Rua GB37,-16.6140885,-49.2179885,8312.58,3940.13,7313.83
Rua GB39,-16.6130436,-49.2195684,8337.51,3771.94,7429.95
Rua GB42,-16.6120865,-49.2229841,8276.05,3408.31,7536.31
Rua GB47,-16.6139527,-49.223362,8070.53,3368.08,7328.92
Rua GB8,-16.6120528,-49.2128249,8780.9,4489.83,7540.06
Rua GB9,-16.614684,-49.210953,8637.52,4689.1,7247.65
Rua GGC 14,-16.8326808,-49.22014120000001,17389.16,3710.96,-16978.98
Rua GGC 27,-16.7483974,-49.1766875,11294.62,8336.9,-7612.32
Rua GGC 43,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC 6,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC1,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC10,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC12,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC13,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC15,-16.5992941,-49.3395829,12709.8,-9004.43,8957.97
Rua GGC16,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC17,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC18,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC19,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC20,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC21,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC24,-16.7474157,-49.1730297,11513.79,8726.3,-7503.22
Rua GGC25,-16.7472629,-49.1742147,11407.24,8600.15,-7486.24
Rua GGC26,-16.7478061,-49.1754684,11346.98,8466.68,-7546.61
Rua GGC28,-16.7492103,-49.1777402,11273.68,8224.83,-7702.66
Rua GGC29,-16.7485306,-49.1782026,11186.11,8175.61,-7627.12
Rua GGC3,-16.6199151,-49.2512308,6682.09,401.26,6666.3
Rua GGC30,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC31,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC32,-16.7507185,-49.1815616,11098.52,7818.02,-7870.27
Rua GGC33,-16.751119,-49.1823083,11074.42,7738.53,-7914.78
Rua GGC35,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC36,-16.752888,-49.179977,11388.68,7986.71,-8111.37
Rua GGC37,-16.7536908,-49.1800306,11448.47,7981.01,-8200.59
Rua GGC38,-16.7539711,-49.1792744,11527.03,8061.51,-8231.74
Rua GGC4,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC41,-16.7554766,-49.176975,11818.08,8306.29,-8399.05
Rua GGC42,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GGC44,-16.7549604,-49.1740026,12002.77,8622.73,-8341.68
Rua GGC45,-16.7551241,-49.1745288,11975.26,8566.71,-8359.88
Rua GGC46,-16.7551429,-49.1737354,12037.33,8651.17,-8361.97
Rua GGC47,-16.7556429,-49.1733059,12108.85,8696.9,-8417.53
Rua GGC55,-16.7533076,-49.1732435,11934.58,8703.54,-8158.0
Rua GGC8,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GLS,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GP1,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GP12,-16.7048227,-49.3790366,13498.58,-13204.54,-2769.73
Rua GP14,-16.7041154,-49.3788516,13463.37,-13184.85,-2691.13
Rua GP6,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GP8,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GR19,-16.6718559,-49.183972,7618.48,7561.42,893.96
Rua GR2,-16.6711462,-49.1838488,7641.18,7574.53,972.84
Rua GR20,-16.6698893,-49.1815378,7903.9,7820.55,1112.52
Rua GR6,-16.6694537,-49.1821664,7844.65,7753.63,1160.93
Rua GV 21,-16.6974128,-49.3488254,10181.43,-9988.36,-1946.25
Rua GV1,-16.6937306,-49.3523778,10485.33,-10366.53,-1537.04
Rua GV10,-16.7143204,-49.3254947,8427.4,-7504.64,-3825.24
Rua GV11,-16.714312,-49.3246156,8343.67,-7411.06,-3824.31
Rua GV12,-16.7140474,-49.3243635,8306.33,-7384.22,-3794.9
Rua GV13,-16.6980253,-49.3498351,10300.1,-10095.85,-2014.32
Rua GV14,-16.6938338,-49.3482005,10047.18,-9921.83,-1548.5
Rua GV15,-16.6964579,-49.3531751,10617.64,-10451.41,-1840.13
Rua GV17,-16.6957435,-49.3475548,10014.36,-9853.09,-1760.73
Rua GV18,-16.710896,-49.3326393,8958.7,-8265.23,-3444.68
Rua GV2,-16.7147436,-49.32779,8666.84,-7748.99,-3872.27
Rua GV24,-16.6999685,-49.3455938,9903.88,-9644.33,-2230.27
Rua GV25,-16.7000673,-49.3444965,9792.55,-9527.51,-2241.25
Rua GV28,-16.7018146,-49.3453044,9922.21,-9613.52,-2435.43
Rua GV29,-16.7127242,-49.3310112,8880.46,-8091.91,-3647.85
Rua GV3,-16.7138579,-49.327405,8586.43,-7708.01,-3773.84
Rua GV30,-16.7129517,-49.3331783,9101.55,-8322.61,-3673.13
Rua GV34,-16.7149266,-49.3320145,9080.25,-8198.72,-3892.61
Rua GV35,-16.7158204,-49.3312713,9052.21,-8119.6,-3991.94
Rua GV39,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GV4,-16.7145297,-49.326028,8488.58,-7561.42,-3848.5
Rua GV4A,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua GV5,-16.7143274,-49.3250681,8387.3,-7459.23,-3826.02
Rua GV8,-16.6970968,-49.3518952,10496.1,-10315.16,-1911.13
Rua GV9,-16.6954897,-49.3501947,10286.48,-10134.13,-1732.53
Rua Gabriel Elias,-16.6250546,-49.299537,7726.79,-4741.27,6095.13
Rua Galícia,-16.7450165,-49.3396851,11565.7,-9015.31,-7236.59
Rua Gameleira,-16.6274234,-49.2495335,5864.12,581.95,5831.88
Rua Gaponga,-16.7261832,-49.2830172,5948.93,-2982.62,-5143.59
Rua Garibaldi,-16.7282953,-49.3176383,8571.04,-6668.28,-5378.31
Rua Garigliano,,,,,
Rua General Osório,-16.7233386,-49.2981856,6669.73,-4597.4,-4827.46
Rua Gentil Pinto,-16.7424576,-49.2963515,8232.94,-4402.15,-6952.21
Rua George VI,-16.6594432,-49.3853451,14069.7,-13876.13,2273.42
Rua Georgina George Borges de Melo,-16.8150365,-49.3758323,19782.07,-12863.42,-15018.12
Rua Gerson Castro Costa,-16.7115604,-49.2877857,4958.55,-3490.26,-3518.51
Rua Getúlio Vargas,-16.7248062,-49.2990255,6849.75,-4686.82,-4990.56
Rua Getúlio de Sá,-16.6831152,-49.316478,6558.1,-6544.75,-357.31
Rua Gibraltar,-16.7427668,-49.3391494,11365.76,-8958.28,-6986.57
Rua Gilvan Pimenta,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua Gladiolo,-16.6905575,-49.3267388,7732.48,-7637.09,-1184.4
Rua Goiatuba,-16.8351218,-49.2967427,17822.92,-4443.8,-17250.26
Rua Goiânia,-16.7793601,-49.3597487,15707.8,-11151.22,-11053.29
Rua Gomes de Santana Ramos,-16.7535132,-49.3726662,14967.48,-12526.37,-8180.85
Rua Gonçalves Ledo,-16.6510426,-49.3237574,7996.39,-7319.7,3207.01
Rua Grajaú,-16.6851136,-49.3359356,8640.31,-8616.15,-579.4
Rua Greco,-16.6453041,-49.2806084,4715.96,-2726.19,3844.74
Rua Guadalquivir,-16.7397278,-49.3376523,11033.55,-8798.9,-6648.84
Rua Guadalupe,-16.6520065,-49.3805641,13730.49,-13367.16,3099.89
Rua Guaibim,-16.6567982,-49.359549,11429.25,-11129.96,2567.37
Rua Guajajaras,-16.6344069,-49.2743895,5464.06,-2064.14,5055.78
Rua Guajará,-16.7275114,-49.2771199,5794.65,-2354.81,-5291.2
Rua Guapeva,-16.6099253,-49.3299832,11151.49,-7982.47,7776.5
Rua Guapó,-16.7450751,-49.3858159,15703.87,-13926.25,-7243.1
Rua Guarani,-16.6793268,-49.2918584,3926.54,-3923.83,63.7
Rua Guaraíta,-16.7117643,-49.1972006,7102.88,6153.14,-3541.17
Rua Guarujá,-16.6727583,-49.3240085,7393.43,-7346.43,793.68
Rua Guayana,-16.7310957,-49.2712844,5951.03,-1733.59,-5689.53
Rua Guilherme Mariano Reis,-16.7282312,-49.3712391,13495.96,-12374.45,-5371.19
Rua Guilhermino Pereira Nunes,-16.6135272,-49.2392049,7569.72,1681.5,7376.21
Rua Guimarães Lima,-16.7449445,-49.2836131,7848.34,-3046.06,-7228.59
Rua Gustavo,-16.5984805,-49.3221405,11538.25,-7147.57,9048.39
Rua Gustavo Henrique de Sá,-16.607059,-49.3198329,10644.73,-6901.91,8095.04
Rua H,-16.6084797,-49.3287439,11171.01,-7850.54,7937.15
Rua H1,-16.6513877,-49.2011914,6550.3,5728.29,3168.66
Rua H4,-16.6503794,-49.20011,6705.52,5843.42,3280.71
Rua HM 11,-16.6331919,-49.2934329,6613.41,-4091.45,5190.81
Rua HM 6,-16.6347053,-49.2932553,6470.15,-4072.54,5022.62
Rua HM1,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua HM14,-16.6336098,-49.2913753,6442.82,-3872.4,5144.37
Rua HM2,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua HM3,-16.6494765,-49.3422165,9887.44,-9284.79,3381.05
Rua HM7,-16.6346414,-49.2925664,6429.74,-3999.2,5029.72
Rua HM8,-16.6351534,-49.2918079,6334.95,-3918.45,4972.82
Rua Haroldo Barbosa,-16.6832014,-49.3858998,13947.66,-13935.18,-366.89
Rua Havaí,-16.6848544,-49.2194211,3829.51,3787.62,-550.6
Rua Heitor Fleury,-16.689125,-49.3084772,5787.68,-5693.01,-1025.2
Rua Henrique Machado,-16.6147849,-49.3276367,10597.44,-7732.67,7236.43
Rua Henrique da Silva Dantas,-16.6395723,-49.1839006,8801.95,7569.02,4481.74
Rua Herculina Marques de Abreu,-16.655284,-49.1991852,6545.37,5941.87,2735.65
Rua Hermano Koma,-16.6864799,-49.2992569,4770.44,-4711.45,-731.24
Rua Hermantino Fernandes,-16.7526911,-49.3734808,14990.65,-12613.09,-8089.49
Rua Hermes Fontes,-16.7296293,-49.31853,8738.25,-6763.2,-5526.56
Rua Hermógenes Coelho,-16.6805475,-49.3128618,6163.63,-6159.78,-71.96
Rua Hermógenes Ferreira Coelho,-16.6255698,-49.3084149,8299.21,-5686.38,6037.88
Rua Higueras,-16.7419008,-49.3376189,11178.06,-8795.35,-6890.33
Rua Hilda de Faria Lemos,-16.5873124,-49.3174498,12258.14,-6648.21,10289.53
Rua Hilda de Sá,-16.5873124,-49.3174498,12258.14,-6648.21,10289.53
Rua Himalaia,-16.6612186,-49.3451746,9827.57,-9599.7,2076.12
Rua Hollywood,-16.6592904,-49.206827,5619.96,5128.35,2290.41
Rua Homero R. Filho,-16.705242,-49.3750175,13089.87,-12776.68,-2816.33
Rua Homero Rosa,-16.7036992,-49.3704294,12575.92,-12288.25,-2644.88
Rua Humaitá,-16.6847974,-49.2039931,5460.22,5430.03,-544.26
Rua Humberto de Campos,-16.7235076,-49.2205599,6080.01,3666.38,-4846.24
Rua Hydra,-16.7114146,-49.2025216,6597.01,5586.68,-3502.31
Rua Hárpia,-16.730307,-49.2754162,6011.98,-2173.44,-5601.88
Rua I,-16.65776,-49.283689,3924.28,-3054.14,2460.48
Rua I 4,-16.5875128,-49.2808593,10636.02,-2752.9,10267.26
Rua I2,-16.7207059,-49.2433619,4703.67,1238.96,-4534.88
Rua I3,-16.762055,-49.3584083,14308.14,-11008.52,-9130.13
Rua I5,-16.763457,-49.3610739,14626.25,-11292.29,-9285.94
Rua I6,-16.7631119,-49.3621899,14694.04,-11411.1,-9247.58
Rua I9,-16.7648461,-49.3615309,14762.18,-11340.94,-9440.31
Rua IP10,-16.6833215,-49.3655204,11778.25,-11765.65,-380.24
Rua Iapó,-16.699859,-49.2229107,4075.19,3416.13,-2218.1
Rua Ibicuí,-16.6982613,-49.2103973,5170.83,4748.26,-2040.55
Rua Ibirapitinga,-16.7075794,-49.2163088,5143.45,4118.94,-3076.09
Rua Igapo,-16.7297838,-49.2783748,6079.86,-2488.41,-5543.73
Rua Igarapé,-16.7310177,-49.2793072,6245.79,-2587.67,-5680.86
Rua Iguaçu,-16.6342448,-49.2694132,5303.74,-1534.38,5073.8
Rua Ijuí,-16.6990909,-49.2090006,5343.98,4896.95,-2132.74
Rua Ilhéus,-16.6534866,-49.2757299,3674.57,-2206.84,2935.4
