rua,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Avenida Auta Ferraz de Camargo,-16.6123911,-49.3013493,8985.09,-4934.2,7502.46
Avenida Autódromo Ayrton Senna,-16.7191219,-49.1920544,7997.8,6700.99,-4358.85
Avenida Ayrton Senna,-16.7133996,-49.1927363,7606.08,6628.4,-3722.91
Avenida B,-16.6790864,-49.2683755,1427.58,-1423.91,90.42
Avenida Babaçu,-16.7219413,-49.3693327,13043.45,-12171.5,-4672.17
Avenida Baffin,-16.7243742,-49.3523481,11486.96,-10363.37,-4942.55
Avenida Bandeirantes,-16.5955619,-49.2579361,9383.18,-312.57,9372.74
Avenida Barcelona,-16.7481134,-49.342579,12021.79,-9323.38,-7580.76
Avenida Barão de Rio Branco,-16.6425979,-49.2305793,4896.1,2599.75,4145.49
Avenida Bela Vista,-16.7367928,-49.2246114,7105.98,3235.07,-6322.66
Avenida Belo Horizonte,-16.699643,-49.3115756,6413.34,-6022.86,-2194.1
Avenida Belém,-16.6542737,-49.3147569,6974.19,-6361.53,2847.93
Avenida Benedito Gonçalves de Araujo,-16.740423,-49.3326185,10659.4,-8263.02,-6726.1
Avenida Berlim,-16.7175849,-49.3126194,7430.98,-6133.98,-4188.03
Avenida Bernardo Sayão,-16.6605219,-49.2742466,2974.25,-2048.93,2153.55
Avenida Bom Jesus,-16.645105,-49.3194565,7881.32,-6861.84,3866.87
Avenida Bonpland,,,,,
Avenida Bordeaux,-16.7114099,-49.234602,4122.64,2171.51,-3501.79
Avenida Bororó,-16.6138553,-49.2967111,8583.6,-4440.43,7339.74
Avenida Botafogo,-16.7141203,-49.2458706,3927.39,971.89,-3803.0
Avenida Boulevard Conde dos Arcos,-16.6294505,-49.247797,5661.97,766.81,5606.6
Avenida Boulevard das Esmeraldas,-16.6326981,-49.2558138,5249.33,-86.63,5245.69
Avenida Brasil,-16.7227308,-49.2394527,5042.21,1655.12,-4759.91
Avenida Brigadeiro Faria Lima,-16.638563,-49.2810341,5368.33,-2771.51,4593.9
Avenida Buenos Aires,-16.669188,-49.2083185,5113.15,4969.56,1190.46
Avenida Buritis,-16.7249447,-49.3662788,12866.54,-11846.39,-5005.95
Avenida C,-16.719752,-49.2798913,5163.8,-2649.85,-4428.87
Avenida C 1,-16.7205047,-49.28454499999999,5503.38,-3145.27,-4512.52
Avenida C 106,-16.7122795,-49.2893925,5136.25,-3661.32,-3598.43
Avenida C 171,-16.719752,-49.2798913,5163.8,-2649.85,-4428.87
Avenida C 182,-16.7142293,-49.27769730000001,4518.32,-2416.28,-3815.12
Avenida C 233,-16.7187851,-49.2760833,4872.13,-2244.46,-4321.42
Avenida C 264,-16.6326818,-49.30680719999999,7617.49,-5515.23,5247.5
Avenida C 9,-16.7208762,-49.2854553,5592.98,-3242.17,-4553.81
Avenida C10,-16.689135,-49.2957786,4463.21,-4341.16,-1026.31
Avenida C104,-16.7136929,-49.2882624,5164.31,-3541.01,-3755.5
Avenida C107,-16.7106859,-49.2949228,5458.82,-4250.06,-3421.33
Avenida C11,-16.6928198,-49.2992669,4928.99,-4712.51,-1435.82
Avenida C12,-16.6955373,-49.2968996,4789.57,-4460.5,-1737.82
Avenida C15,-16.6937078,-49.3020197,5238.24,-5005.57,-1534.5
Avenida C16,-16.7004568,-49.3033985,5639.01,-5152.35,-2284.54
Avenida C169,-16.7215661,-49.2901544,5956.81,-3742.43,-4630.48
Avenida C177,-16.723727,-49.2861032,5892.61,-3311.15,-4870.62
Avenida C18,-16.6981501,-49.3060691,5805.64,-5436.66,-2028.19
Avenida C197,-16.7001365,-49.2796087,3454.49,-2619.76,-2248.94
Avenida C198,-16.7000033,-49.2817638,3622.57,-2849.19,-2234.14
Avenida C2,-16.6934228,-49.2859661,3624.86,-3296.55,-1502.83
Avenida C205,-16.6999927,-49.2851312,3910.4,-3207.67,-2232.96
Avenida C231,-16.7040923,-49.2808563,3849.76,-2752.58,-2688.56
Avenida C235,-16.7088393,-49.2744395,3826.45,-2069.47,-3216.11
Avenida C255,-16.7157835,-49.2743226,4489.53,-2057.02,-3987.84
Avenida C4,-16.6959277,-49.2873896,3883.02,-3448.09,-1781.21
Avenida C5,-16.6987724,-49.289049,4189.98,-3624.75,-2097.35
Avenida C7,-16.6933185,-49.2935586,4369.61,-4104.83,-1491.24
Avenida C8,-16.6948544,-49.2966465,4737.29,-4433.55,-1661.93
Avenida Caiapó,-16.6358492,-49.2358324,5306.78,2040.52,4895.5
Avenida Campos Sales,-16.685653,-49.3512046,10267.14,-10241.64,-639.35
Avenida Canaã,-16.6743466,-49.2251676,3237.12,3175.86,617.17
Avenida Carijós,-16.6638734,-49.3541777,10713.73,-10558.14,1781.08
Avenida Cariri,-16.6356702,-49.28087,5637.64,-2754.04,4915.39
Avenida Carolina Cândida Cabral,-16.6919235,-49.3736544,12708.74,-12631.57,-1336.21
Avenida Carrinho Cunha,-16.6253788,-49.2924818,7259.31,-3990.19,6059.1
Avenida Cascavel,-16.6807235,-49.2940107,4156.27,-4152.96,-91.52
Avenida Castelo Branco,-16.6736192,-49.299764,4819.05,-4765.43,698.0
Avenida Catléia,-16.704997,-49.2154008,5057.33,4215.61,-2789.1
Avenida Center,-16.7474999,-49.3376024,11570.99,-8793.59,-7512.58
Avenida Central,-16.6437897,-49.3260107,8564.12,-7559.57,4013.04
Avenida Champagne,-16.7114099,-49.234602,4122.64,2171.51,-3501.79
Avenida Circular,-16.7134639,-49.2546354,3732.34,38.81,-3730.06
Avenida Comercial,-16.6442562,-49.3241968,8369.24,-7366.47,3961.2
Avenida Consolação,-16.6789758,-49.3185072,6765.34,-6760.78,102.71
Avenida Contorno,-16.6058799,-49.2969484,9365.69,-4465.69,8226.07
Avenida Contorno Oeste,-16.7078949,-49.3179701,7394.04,-6703.6,-3111.16
Avenida Contorno da Represa,-16.6275139,-49.331768,10040.6,-8172.48,5821.82
Avenida Contorno dos Ipês,-16.7500434,-49.1763505,11445.06,8372.78,-7795.24
Avenida Copacabana,-16.6059372,-49.2936825,9199.05,-4118.02,8219.7
Avenida Coronel Joaquim Lúcio,-16.6451303,-49.343764,10215.54,-9449.53,3864.06
Avenida Couto Magalhães,-16.6537223,-49.2555035,2911.32,-53.6,2909.21
Avenida Cristal,-16.6815511,-49.2080713,5002.02,4995.88,-183.49
Avenida Cristiano Machado,-16.6630413,-49.1809694,8105.56,7881.06,1873.56
Avenida Cristo Rei,-16.6447879,-49.2284406,4821.64,2827.43,3902.11
Avenida Cristóvão Colombo,-16.672224,-49.2176569,4068.27,3975.43,853.06
Avenida Cruzeiro do Sul,-16.6599551,-49.1801927,8271.47,7963.75,2216.54
